H|FIRST YEARS OF PERFORMANCES AT WISNER BUILDING, MASON &amp; WATKINS HIGH SCHOOL
2012|A Streetcar Named Desire|Amanda Robertson|Missy Sanderson|200th Production
2012|Visions of Broadway|Frankie Bennett|Missy Sanderson
2012|Alice in Wonderland|Brenda Parker|Missy Sanderson
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2012|Annie|Lacy Cockrell|Missy Sanderson
2012|Always...Patsy Cline|Wess Hughes|Missy Sanderson
2013|Proof|Sam Buchanan|Missy Sanderson
2013|The Dixie Swim Club|Frankie Bennett|Missy Sanderson
2013|1776|Wess Hughes / Frankie Bennett|Missy Sanderson
2013|The Little Mermaid|Katelyn Bryant|Missy Sanderson
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2013|Aida|Lacy Cockrell|Frankie Bennett
2013|Dixie Swim Club|Frankie Bennett|Frankie Bennett
2013|Dracula|Sam Buchanan|Frankie Bennett
2014|Driving Miss Daisy|Shana Riles / Brenda Parker|Frankie Bennett
2014|9 To 5|Frankie Bennett / Wess Hughes|Frankie Bennett
2014|Cinderella|Katelyn Bryant|Frankie Bennett
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2014|The Addams Family|Wess Hughes / Frankie Bennett|Missy Sanderson
2014|Little Women|Lacy Cockrell|Missy Sanderson
2015|The Glass Menagerie|Sam Buchanan|Missy Sanderson
2015|Red, White And Tuna|Catherine Nowicki|Missy Sanderson
2015|Aladdin|Katelyn Bryant|Missy Sanderson
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2015|Jekyll &amp; Hyde|Sam Buchanan|Coty Shoemake
2015|Arsenic And Old Lace|Lacy Cockrell|Coty Shoemake
2016|Dearly Departed|Frankie Bennett|Coty Shoemake
2016|Peter Pan|Brenda Shows|Coty Shoemake
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2016|Beauty And The Beast|Lacy Cockrell|Rick Youngblood
2016|Running Mates|Missy Sanderson|Rick Youngblood|225th Production
2017|The Crucible|Sam Buchanan|Rick Youngblood
2017|The Lion King Jr|Katelyn Bryant|Rick Youngblood
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2017|Joseph &amp; Technicolor Dreamcoat|Wess Hughes|Rick Youngblood
2017|Brighton Beach Memoirs|Rick Youngblood|Rick Youngblood
2018|Noises Off|Sam Buchanan|Rick Youngblood
2018|Shrek Jr|Brenda Shows|Rick Youngblood
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2018|Rex’s Exes|Will Hodges|Rick Youngblood
2018|A Christmas Story|Wess Hughes|Rick Youngblood
2019|Biloxi Blues|Rick Youngblood|Rick Youngblood
2019|Annie Jr|Rebecca Green|Rick Youngblood
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2019|Hello Dolly!|Will Hodges|Sandra Boutwell
2019|Broadway Bound|Rick Youngblood|Sandra Boutwell
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2021|Doublewide, Texas|Frankie Bennett|Sandra Boutwell|60th Season
2021|Why I Live At The P.O.|Rick Youngblood|Sandra Boutwell
2021|On Golden Pond|Frankie Bennett|Sandra Boutwell
2021|Willy Wonka, Jr|Rebecca Green|Sandra Boutwell
